,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
0,yoxwn51y,1,http://www.speedrun.com/sm64/run/yoxwn51y,2024-11-17T10:44:15Z,2786,2786,jn32931x,Suigi,Canada,N64,Yes
1,zpo7ornm,2,http://www.speedrun.com/sm64/run/zpo7ornm,2025-09-16T16:05:30Z,2788,2788,,,,N64,No
2,zqqn9jrz,3,http://www.speedrun.com/sm64/run/zqqn9jrz,2024-11-02T19:21:23Z,2790,2790,1xy9p1vj,taihou,Japan,EMU,Yes
3,zq2kgl5z,4,http://www.speedrun.com/sm64/run/zq2kgl5z,2024-11-28T16:24:47Z,2795,2795,kjprmwk8,Weegee,United States,N64,Yes
4,mew4438m,5,http://www.speedrun.com/sm64/run/mew4438m,2024-04-02T02:08:17Z,2806,2806,x353dr7j,Finnii602,Germany,VC,Yes
5,y40lrekz,6,http://www.speedrun.com/sm64/run/y40lrekz,2026-01-06T00:27:01Z,2811,2811,jmolpwo8,Raisn,Germany,EMU,Yes
6,yj211d3m,7,http://www.speedrun.com/sm64/run/yj211d3m,2023-06-03T16:03:45Z,2814,2814,8wkzer38,Parsee02,Japan,N64,Yes
7,z1q2w59y,8,http://www.speedrun.com/sm64/run/z1q2w59y,2023-01-29T01:10:07Z,2816,2816,18v62qyx,Benji64,Austria,N64,Yes
8,znkq498z,9,http://www.speedrun.com/sm64/run/znkq498z,2020-06-12T18:02:14Z,2819,2819,zx7gnyx7,Dwhatever,Germany,N64,Yes
9,y8pjk2dz,9,http://www.speedrun.com/sm64/run/y8pjk2dz,2024-08-25T13:36:30Z,2819,2819,kjpqrr4x,Goldrush,Japan,N64,Yes
10,megk4q9y,11,http://www.speedrun.com/sm64/run/megk4q9y,2024-07-13T08:30:52Z,2821,2821,jm3lqln8,Mauir,Chile,EMU,Yes
11,y8w614wy,12,http://www.speedrun.com/sm64/run/y8w614wy,2024-05-02T11:51:34Z,2825,2825,j51q9668,RianDiCielo,Panama,VC,Yes
12,mkw6x4lm,13,http://www.speedrun.com/sm64/run/mkw6x4lm,2025-09-08T22:18:28Z,2829,2829,1xyd46wx,Kally,United States,N64,Yes
13,mr64opgm,14,http://www.speedrun.com/sm64/run/mr64opgm,2022-01-03T15:22:37Z,2830,2830,jo2mr9n8,marlene,,N64,No
14,yl5p76rz,14,http://www.speedrun.com/sm64/run/yl5p76rz,2026-01-12T15:21:04Z,2830,2830,v813p3lx,Armada,Sweden,N64,Yes
15,m3q295gy,16,http://www.speedrun.com/sm64/run/m3q295gy,2023-08-08T07:09:45Z,2833,2833,7j40gpw8,tokumeiR,Antarctica,N64,Yes
16,yj77n73y,17,http://www.speedrun.com/sm64/run/yj77n73y,2026-01-26T17:18:56Z,2834,2834,jpmk03yj,Zapy,Japan,N64,Yes
17,y4np23dm,18,http://www.speedrun.com/sm64/run/y4np23dm,2025-09-12T23:23:30Z,2836,2836,xk4zke6j,ElDeve,Argentina,EMU,Yes
18,zn3pr37y,19,http://www.speedrun.com/sm64/run/zn3pr37y,2020-11-11T01:42:44Z,2838,2838,zx76v0j7,Taggo,Sweden,N64,Yes
19,zq52138z,20,http://www.speedrun.com/sm64/run/zq52138z,2026-01-11T19:14:41Z,2840,2840,8l3ldyl8,jumpmanmatthew,United States,N64,Yes
20,zpo57dnm,21,http://www.speedrun.com/sm64/run/zpo57dnm,2025-08-21T11:28:16Z,2841,2841,5j52dgqj,lunarjump,United States,N64,Yes
21,znrw18ly,22,http://www.speedrun.com/sm64/run/znrw18ly,2019-05-19T12:28:58Z,2843,2843,48gev4rj,puncayshun,United States,N64,Yes
22,me7xg3qy,22,http://www.speedrun.com/sm64/run/me7xg3qy,2021-04-25T03:30:35Z,2843,2843,o86nzl0x,Xoofey,United States,N64,Yes
23,y2pn586z,22,http://www.speedrun.com/sm64/run/y2pn586z,2022-07-01T13:54:45Z,2843,2843,v814mkp8,cheese,Spain,N64,Yes
24,yo5kgddz,25,http://www.speedrun.com/sm64/run/yo5kgddz,2025-10-24T10:59:32Z,2845,2845,j2ylqn68,Karin,Japan,N64,Yes
25,z1x2q7wm,26,http://www.speedrun.com/sm64/run/z1x2q7wm,2021-09-07T00:05:52Z,2847,2847,o862d3xz,Biinny,England,N64,Yes
26,znv5po3m,27,http://www.speedrun.com/sm64/run/znv5po3m,2023-08-10T18:06:46Z,2849,2849,xyrqdwmj,Zhilkan,Spain,EMU,Yes
27,yvxrkeez,28,http://www.speedrun.com/sm64/run/yvxrkeez,2024-09-01T22:48:43Z,2851,2851,kj92gmv8,Dowsky,United States,N64,Yes
28,zqpv1j5m,28,http://www.speedrun.com/sm64/run/zqpv1j5m,2025-06-13T17:38:26Z,2851,2851,v81ddq38,Smau,Finland,N64,Yes
29,y8goow5z,28,http://www.speedrun.com/sm64/run/y8goow5z,2025-08-08T01:35:04Z,2851,2851,j0n10kw8,jaquarium,United States,N64,Yes
30,y8dw71wz,31,http://www.speedrun.com/sm64/run/y8dw71wz,2021-06-18T05:04:40Z,2855,2855,48gqo07j,darkdog47,United States,N64,Yes
31,zpw6d88y,32,http://www.speedrun.com/sm64/run/zpw6d88y,2023-07-22T00:40:35Z,2856,2856,x35rvpkj,Scythamer,United States,N64,Yes
32,zgq48vdy,33,http://www.speedrun.com/sm64/run/zgq48vdy,2022-11-23T22:56:21Z,2857,2857,dx35192j,Dezanig,Brazil,N64,Yes
33,yddx4q0y,34,http://www.speedrun.com/sm64/run/yddx4q0y,2022-07-20T22:52:15Z,2858,2858,kjp9p28q,Sigotu,Poland,EMU,Yes
34,yd2dj4jm,35,http://www.speedrun.com/sm64/run/yd2dj4jm,2023-11-18T16:28:46Z,2862,2862,xyrdnrnj,Chemus,Brazil,EMU,Yes
35,mkd23l3y,36,http://www.speedrun.com/sm64/run/mkd23l3y,2022-08-08T20:53:43Z,2863,2863,zx77v7rx,simply,United States,N64,Yes
