,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
0,zp56lrry,1,http://www.speedrun.com/sm64/run/zp56lrry,2025-12-31T06:00:33Z,374.19,374.19,jn32931x,Suigi,Canada,N64,Yes
1,m3vr6ggz,2,http://www.speedrun.com/sm64/run/m3vr6ggz,2025-06-07T14:30:24Z,379.14,379.14,8wkzer38,Parsee02,Japan,N64,Yes
2,yo5x381z,3,http://www.speedrun.com/sm64/run/yo5x381z,2026-01-05T18:38:06Z,379.73,379.73,qj2rklpx,cjrokokomero,Italy,N64,Yes
3,z00x1qoz,4,http://www.speedrun.com/sm64/run/z00x1qoz,2025-07-18T18:02:33Z,385.1,385.1,xkmnnmmj,ZUMMI,Italy,EMU,Yes
4,ydl4l90z,5,http://www.speedrun.com/sm64/run/ydl4l90z,2024-10-21T11:26:05Z,386.4,386.4,xk3nmqk8,DuckTapeDuck,,EMU,Yes
5,zq50worz,6,http://www.speedrun.com/sm64/run/zq50worz,2025-11-22T09:47:15Z,387.1,387.1,xkzm1z9x,MmaARriOy_,Japan,N64,Yes
6,ywjg8w9z,7,http://www.speedrun.com/sm64/run/ywjg8w9z,2022-02-12T20:34:19Z,387.38,387.38,7j40gpw8,tokumeiR,Antarctica,N64,Yes
7,yd4elvqy,8,http://www.speedrun.com/sm64/run/yd4elvqy,2025-06-16T00:12:26Z,390.02,390.02,18q652oj,Poke,United States,N64,Yes
8,zx0l2pez,9,http://www.speedrun.com/sm64/run/zx0l2pez,2025-06-19T07:37:45Z,390.7,390.7,j2www16j,treybordo,United States,N64,Yes
9,mr988ogm,10,http://www.speedrun.com/sm64/run/mr988ogm,2020-09-19T08:25:25Z,392.15,392.15,kj92gmv8,Dowsky,United States,N64,Yes
10,y6qdo8pz,11,http://www.speedrun.com/sm64/run/y6qdo8pz,2023-10-26T00:53:17Z,393.1,393.1,8vkrw22j,Tag609,United States,N64,Yes
11,zqpen89m,12,http://www.speedrun.com/sm64/run/zqpen89m,2025-07-10T23:05:39Z,395.03,395.03,86nnlvqx,Banova8,France,N64,Yes
12,y6j87r6m,13,http://www.speedrun.com/sm64/run/y6j87r6m,2025-08-15T22:43:12Z,395.12,395.12,48gqo07j,darkdog47,United States,N64,Yes
13,y9wo492z,14,http://www.speedrun.com/sm64/run/y9wo492z,2025-09-26T19:51:39Z,395.35,395.35,8r2w1n3x,Kinosura,France,N64,Yes
14,y2221wjy,15,http://www.speedrun.com/sm64/run/y2221wjy,2024-05-13T14:29:08Z,400.45,400.45,18qowewj,Majoog,South Korea,N64,Yes
15,y6en9gpz,16,http://www.speedrun.com/sm64/run/y6en9gpz,2024-08-24T10:15:39Z,401.9,401.9,8ew0dk28,NotGorilla,Sweden,EMU,No
16,zg89j6ey,17,http://www.speedrun.com/sm64/run/zg89j6ey,2024-01-19T02:59:26Z,403.9,403.9,jmolpwo8,Raisn,Germany,N64,Yes
17,8yv24rem,18,http://www.speedrun.com/sm64/run/8yv24rem,2015-08-07T21:20:12Z,404.23,404.23,,,,N64,Yes
18,z1v58d7z,19,http://www.speedrun.com/sm64/run/z1v58d7z,2024-12-25T19:01:37Z,404.6,404.6,kjprmwk8,Weegee,United States,N64,Yes
19,yv7nkd6y,20,http://www.speedrun.com/sm64/run/yv7nkd6y,2025-08-09T04:24:59Z,404.66,404.66,81q1oq5j,Ian_1243,Peru,EMU,Yes
20,dy4jg0ny,21,http://www.speedrun.com/sm64/run/dy4jg0ny,2016-10-25T19:03:39Z,404.7,404.7,o866w58z,Xiah,Japan,N64,Yes
21,y4nl46km,22,http://www.speedrun.com/sm64/run/y4nl46km,2025-08-03T02:16:48Z,405.23,405.23,jo3w720j,JumboJolt,Antarctica,EMU,Yes
22,z17qx99z,23,http://www.speedrun.com/sm64/run/z17qx99z,2025-12-13T13:37:11Z,405.25,405.25,1xy05zjr,turara32767,Japan,N64,Yes
23,mrr912dm,24,http://www.speedrun.com/sm64/run/mrr912dm,2022-08-17T05:40:11Z,405.67,405.67,68w4ro4x,wara,Japan,N64,Yes
24,zxxd815z,25,http://www.speedrun.com/sm64/run/zxxd815z,2024-08-03T12:44:00Z,406.4,406.4,xzlelze8,xWicko,Australia,N64,Yes
25,y2g8507z,26,http://www.speedrun.com/sm64/run/y2g8507z,2023-08-04T09:13:52Z,408.03,408.03,xyrqdwmj,Zhilkan,Spain,EMU,Yes
26,yd1ervvy,27,http://www.speedrun.com/sm64/run/yd1ervvy,2022-08-28T16:25:19Z,408.4,408.4,qjoolrej,nobori56,Japan,N64,Yes
27,y6r7wn0y,28,http://www.speedrun.com/sm64/run/y6r7wn0y,2020-09-17T07:21:59Z,408.99,408.99,1xy9p1vj,taihou,Japan,EMU,No
