Unnamed: 0,id,place,speedrun_link,primary_time_seconds,real_time_seconds,player_name,player_country,platform,verified
0,yol5kxjy,1,http://www.speedrun.com/sm64/run/yol5kxjy,875.5,875.5,Suigi,Canada,N64,Yes
1,zng5delm,2,http://www.speedrun.com/sm64/run/zng5delm,876.42,876.42,Weegee,United States,N64,Yes
2,zppddvxz,3,http://www.speedrun.com/sm64/run/zppddvxz,881.21,881.21,Slipperynip,United States,N64,Yes
3,yoeq9vjz,4,http://www.speedrun.com/sm64/run/yoeq9vjz,889.85,889.85,GTM,Antarctica,N64,Yes
4,y60jnn0y,5,http://www.speedrun.com/sm64/run/y60jnn0y,892.0,892.0,Finnii602,Germany,VC,Yes
5,ywj1gg9z,6,http://www.speedrun.com/sm64/run/ywj1gg9z,895.81,895.81,Dowsky,United States,N64,Yes
6,ydne25xm,7,http://www.speedrun.com/sm64/run/ydne25xm,895.94,895.94,treybordo,United States,N64,Yes
7,y9wjj7ez,8,http://www.speedrun.com/sm64/run/y9wjj7ez,896.03,896.03,MmaARriOy_,Japan,N64,Yes
8,m7w9p0ez,9,http://www.speedrun.com/sm64/run/m7w9p0ez,896.22,896.22,tokumeiR,Antarctica,N64,Yes
9,mkv9n63y,10,http://www.speedrun.com/sm64/run/mkv9n63y,896.33,896.33,Tag609,United States,N64,Yes
10,znx1l88y,11,http://www.speedrun.com/sm64/run/znx1l88y,896.53,896.53,xandrey,Costa Rica,N64,Yes
11,yj7dqn3y,12,http://www.speedrun.com/sm64/run/yj7dqn3y,896.6,896.6,ZUMMI,Italy,EMU,Yes
12,y86rxp5m,13,http://www.speedrun.com/sm64/run/y86rxp5m,897.46,897.46,gamiru,Japan,N64,Yes
13,m7lq074y,14,http://www.speedrun.com/sm64/run/m7lq074y,897.76,897.76,Sunnard,France,EMU,Yes
14,znv35k3m,15,http://www.speedrun.com/sm64/run/znv35k3m,898.1,898.1,Zapy,Japan,N64,Yes
15,yv8qgoom,16,http://www.speedrun.com/sm64/run/yv8qgoom,898.33,898.33,Raisn,Germany,EMU,Yes
16,yv7077ey,17,http://www.speedrun.com/sm64/run/yv7077ey,898.55,898.55,Banova8,France,N64,Yes
17,mk13woly,18,http://www.speedrun.com/sm64/run/mk13woly,898.89,898.89,Parsee02,Japan,N64,Yes
18,znko377z,19,http://www.speedrun.com/sm64/run/znko377z,899.33,899.33,akki,Japan,N64,Yes
19,mr20o6dy,20,http://www.speedrun.com/sm64/run/mr20o6dy,904.73,904.73,Thomkar,Norway,N64,Yes
20,yj9jj23z,21,http://www.speedrun.com/sm64/run/yj9jj23z,904.83,904.83,spener1122,Canada,N64,Yes
21,yv7w97ey,22,http://www.speedrun.com/sm64/run/yv7w97ey,905.23,905.23,lunarjump,United States,N64,Yes
22,yje0j1om,23,http://www.speedrun.com/sm64/run/yje0j1om,905.73,905.73,Poke,United States,N64,Yes
23,zgojdojm,24,http://www.speedrun.com/sm64/run/zgojdojm,906.25,906.25,turara32767,Japan,N64,Yes
24,y8kojlwy,25,http://www.speedrun.com/sm64/run/y8kojlwy,906.73,906.73,cjrokokomero,Italy,N64,Yes
25,zpkxv1vy,26,http://www.speedrun.com/sm64/run/zpkxv1vy,908.39,908.39,kusabi,Japan,N64,Yes
26,m3vl8qgz,27,http://www.speedrun.com/sm64/run/m3vl8qgz,908.43,908.43,Drac,Brazil,N64,Yes
27,zpw506ry,28,http://www.speedrun.com/sm64/run/zpw506ry,908.63,908.63,Nils,Sweden,N64,Yes
28,y4le92kz,29,http://www.speedrun.com/sm64/run/y4le92kz,909.35,909.35,Mauir,Chile,EMU,Yes
29,m36394wm,30,http://www.speedrun.com/sm64/run/m36394wm,909.43,909.43,Kaimatix,England,EMU,Yes
