Unnamed: 0,id,place,speedrun_link,primary_time_seconds,real_time_seconds,player_name,player_country,platform,verified
0,yoxwn51y,1,http://www.speedrun.com/sm64/run/yoxwn51y,2786,2786,Suigi,Canada,N64,Yes
1,zpo7ornm,2,http://www.speedrun.com/sm64/run/zpo7ornm,2788,2788,,,N64,No
2,zqqn9jrz,3,http://www.speedrun.com/sm64/run/zqqn9jrz,2790,2790,taihou,Japan,EMU,Yes
3,zq2kgl5z,4,http://www.speedrun.com/sm64/run/zq2kgl5z,2795,2795,Weegee,United States,N64,Yes
4,mew4438m,5,http://www.speedrun.com/sm64/run/mew4438m,2806,2806,Finnii602,Germany,VC,Yes
5,y40lrekz,6,http://www.speedrun.com/sm64/run/y40lrekz,2811,2811,Raisn,Germany,EMU,Yes
6,yj211d3m,7,http://www.speedrun.com/sm64/run/yj211d3m,2814,2814,Parsee02,Japan,N64,Yes
7,z1q2w59y,8,http://www.speedrun.com/sm64/run/z1q2w59y,2816,2816,Benji64,Austria,N64,Yes
8,znkq498z,9,http://www.speedrun.com/sm64/run/znkq498z,2819,2819,Dwhatever,Germany,N64,Yes
9,y8pjk2dz,9,http://www.speedrun.com/sm64/run/y8pjk2dz,2819,2819,Goldrush,Japan,N64,Yes
10,megk4q9y,11,http://www.speedrun.com/sm64/run/megk4q9y,2821,2821,Mauir,Chile,EMU,Yes
11,y8w614wy,12,http://www.speedrun.com/sm64/run/y8w614wy,2825,2825,RianDiCielo,Panama,VC,Yes
12,mkw6x4lm,13,http://www.speedrun.com/sm64/run/mkw6x4lm,2829,2829,Kally,United States,N64,Yes
13,mr64opgm,14,http://www.speedrun.com/sm64/run/mr64opgm,2830,2830,marlene,,N64,No
14,yl5p76rz,14,http://www.speedrun.com/sm64/run/yl5p76rz,2830,2830,Armada,Sweden,N64,Yes
15,m3q295gy,16,http://www.speedrun.com/sm64/run/m3q295gy,2833,2833,tokumeiR,Antarctica,N64,Yes
16,yj77n73y,17,http://www.speedrun.com/sm64/run/yj77n73y,2834,2834,Zapy,Japan,N64,Yes
17,y4np23dm,18,http://www.speedrun.com/sm64/run/y4np23dm,2836,2836,ElDeve,Argentina,EMU,Yes
18,zn3pr37y,19,http://www.speedrun.com/sm64/run/zn3pr37y,2838,2838,Taggo,Sweden,N64,Yes
19,zq52138z,20,http://www.speedrun.com/sm64/run/zq52138z,2840,2840,jumpmanmatthew,United States,N64,Yes
20,zpo57dnm,21,http://www.speedrun.com/sm64/run/zpo57dnm,2841,2841,lunarjump,United States,N64,Yes
21,znrw18ly,22,http://www.speedrun.com/sm64/run/znrw18ly,2843,2843,puncayshun,United States,N64,Yes
22,me7xg3qy,22,http://www.speedrun.com/sm64/run/me7xg3qy,2843,2843,Xoofey,United States,N64,Yes
