Unnamed: 0,id,place,speedrun_link,primary_time_seconds,real_time_seconds,player_name,player_country,platform,verified
0,mk1x1wxy,1,http://www.speedrun.com/sm64/run/mk1x1wxy,5728,5728,Suigi,Canada,N64,Yes
1,z00v01jz,2,http://www.speedrun.com/sm64/run/z00v01jz,5730,5730,,,N64,No
2,yv77ke4y,2,http://www.speedrun.com/sm64/run/yv77ke4y,5730,5730,Karin,Japan,N64,Yes
3,yvx4o46z,4,http://www.speedrun.com/sm64/run/yvx4o46z,5762,5762,Weegee,United States,N64,Yes
4,yv7jgrey,5,http://www.speedrun.com/sm64/run/yv7jgrey,5793,5793,Kally,United States,N64,Yes
5,yj7ogody,6,http://www.speedrun.com/sm64/run/yj7ogody,5796,5796,Parsee02,Japan,N64,Yes
6,ydnp5jqm,7,http://www.speedrun.com/sm64/run/ydnp5jqm,5804,5804,cheese,Spain,N64,Yes
7,yv516qem,8,http://www.speedrun.com/sm64/run/yv516qem,5806,5806,Smau,Finland,N64,Yes
8,yd4107xy,9,http://www.speedrun.com/sm64/run/yd4107xy,5807,5807,marlene,,N64,Yes
9,yvxlr06z,10,http://www.speedrun.com/sm64/run/yvxlr06z,5826,5826,simply,United States,N64,Yes
10,menw6l0m,11,http://www.speedrun.com/sm64/run/menw6l0m,5827,5827,BeastAssassin67,United States,N64,Yes
11,y2kedw7y,12,http://www.speedrun.com/sm64/run/y2kedw7y,5837,5837,Liam,United States,N64,Yes
12,mrxxrldm,13,http://www.speedrun.com/sm64/run/mrxxrldm,5846,5846,puncayshun,United States,N64,Yes
13,mkrooovz,14,http://www.speedrun.com/sm64/run/mkrooovz,5858,5858,Raisn,Germany,EMU,Yes
14,z5kvqwdz,15,http://www.speedrun.com/sm64/run/z5kvqwdz,5860,5860,batora,Japan,N64,Yes
15,zglxd1dm,16,http://www.speedrun.com/sm64/run/zglxd1dm,5875,5875,Dezanig,Brazil,N64,Yes
16,mrdjx2gz,16,http://www.speedrun.com/sm64/run/mrdjx2gz,5875,5875,beeve,United States,N64,Yes
