,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
325,zg65vkdm,319,http://www.speedrun.com/sm64/run/zg65vkdm,2025-09-04T08:24:54Z,501.0,501.0,j51r39z8,P_Luizon,Mexico,N64,Yes
326,mr55734y,319,http://www.speedrun.com/sm64/run/mr55734y,2026-01-23T22:44:31Z,501.0,501.0,j2wp4qoj,Miky_,Italy,EMU,Yes
327,8m7oo1ey,328,http://www.speedrun.com/sm64/run/8m7oo1ey,2016-09-28T21:46:00Z,502.0,502.0,qj21mo8k,CartoonBuffoon,,EMU,Yes
328,zp96povm,328,http://www.speedrun.com/sm64/run/zp96povm,2022-06-24T09:28:15Z,502.0,502.0,y8dw9zgj,Alkobakknarko,Norway,N64,Yes
329,y4onxdqz,328,http://www.speedrun.com/sm64/run/y4onxdqz,2023-08-05T22:35:09Z,502.0,502.0,j4q1vpwx,shadowbear,Canada,N64,Yes
330,zpxl2dnm,328,http://www.speedrun.com/sm64/run/zpxl2dnm,2024-08-02T20:48:56Z,502.0,502.0,xk41ok7j,Cosmalano,,N64,Yes
331,m7oon55y,328,http://www.speedrun.com/sm64/run/m7oon55y,2024-10-07T17:34:41Z,502.0,502.0,y8dkzmgj,kmarket,Finland,EMU,Yes
332,y8op07xm,328,http://www.speedrun.com/sm64/run/y8op07xm,2025-03-05T08:49:07Z,502.0,502.0,j26ewg7x,Littlezombie,China,EMU,Yes
333,2ywd582z,334,http://www.speedrun.com/sm64/run/2ywd582z,2015-07-30T06:31:33Z,503.0,503.0,,,,N64,No
334,m31xkvgz,334,http://www.speedrun.com/sm64/run/m31xkvgz,2019-10-22T01:03:57Z,503.0,503.0,18v2l4ej,Zombie2,Canada,EMU,Yes
335,z5j1onem,334,http://www.speedrun.com/sm64/run/z5j1onem,2020-04-08T07:26:53Z,503.0,503.0,o86wzyqx,squidbird,United States,N64,Yes
336,zqwvp2xz,334,http://www.speedrun.com/sm64/run/zqwvp2xz,2020-05-27T14:26:08Z,503.0,503.0,5j594e6x,peta,Japan,N64,Yes
337,zxl9k28z,334,http://www.speedrun.com/sm64/run/zxl9k28z,2021-11-30T02:39:46Z,503.0,503.0,8qzwgr78,toilet64_,United States,N64,Yes
338,z0jrvl9y,334,http://www.speedrun.com/sm64/run/z0jrvl9y,2023-06-13T18:30:28Z,503.0,503.0,8rpp4ogj,zjay64,Germany,N64,Yes
339,zx049wqz,334,http://www.speedrun.com/sm64/run/zx049wqz,2025-05-01T17:03:26Z,503.0,503.0,8lpv62lj,Kzwbz,Valhalla,EMU,Yes
340,zqppjprm,334,http://www.speedrun.com/sm64/run/zqppjprm,2025-08-13T04:49:05Z,503.0,503.0,8r3064w8,JTown2909,United States,N64,Yes
341,z17x5v9z,334,http://www.speedrun.com/sm64/run/z17x5v9z,2025-11-15T03:07:57Z,503.0,503.0,xk3ddzm8,lazycaps,United States,N64,Yes
342,y2r0l1wm,334,http://www.speedrun.com/sm64/run/y2r0l1wm,2025-11-27T04:40:44Z,503.0,503.0,jo2mdg08,Tumbad0,Mexico,EMU,Yes
343,ydo1xrjz,334,http://www.speedrun.com/sm64/run/ydo1xrjz,2025-12-09T21:25:20Z,503.0,503.0,j5q9m3nj,SebMatey,United Kingdom,EMU,Yes
344,yl5x76rz,334,http://www.speedrun.com/sm64/run/yl5x76rz,2026-01-06T21:16:58Z,503.0,503.0,8lrl9qr8,ImNightmare06,Mexico,EMU,Yes
345,6yj67l7z,346,http://www.speedrun.com/sm64/run/6yj67l7z,2015-07-30T06:32:37Z,504.0,504.0,,,,N64,No
346,megnkk3y,346,http://www.speedrun.com/sm64/run/megnkk3y,2024-10-10T18:50:58Z,504.0,504.0,81pv2738,NatetheNut,United States,EMU,Yes
347,m7ok1o0y,346,http://www.speedrun.com/sm64/run/m7ok1o0y,2024-11-13T18:22:09Z,504.0,504.0,8vrk2ynx,knadz,United Kingdom,EMU,Yes
348,y6je0e6m,346,http://www.speedrun.com/sm64/run/y6je0e6m,2025-07-31T09:46:49Z,504.0,504.0,v81100p8,HomerOfSteel,France,EMU,Yes
349,yoee23dz,346,http://www.speedrun.com/sm64/run/yoee23dz,2025-08-10T08:44:30Z,504.0,504.0,8e6goq2j,Superoutplayz,United States,EMU,Yes
350,z127v3ry,351,http://www.speedrun.com/sm64/run/z127v3ry,2022-03-08T16:56:38Z,505.0,505.0,zxze4qex,caleb2112,United States,N64,Yes
351,z0pndk9y,351,http://www.speedrun.com/sm64/run/z0pndk9y,2022-06-10T08:58:11Z,505.0,505.0,v8lem77x,Frost_Byte,United States,N64,Yes
352,znv0p23m,351,http://www.speedrun.com/sm64/run/znv0p23m,2023-06-16T14:06:25Z,505.0,505.0,xyreddzj,squimmie,United States,N64,Yes
353,y6jkneqm,351,http://www.speedrun.com/sm64/run/y6jkneqm,2025-09-14T01:43:33Z,505.0,505.0,8v55qvej,Lucinovic,Netherlands,N64,Yes
354,8y8dl05z,355,http://www.speedrun.com/sm64/run/8y8dl05z,2015-11-06T00:07:39Z,506.0,506.0,v48g37xp,JustinDT,Québec,N64,Yes
355,jy9kjrvz,355,http://www.speedrun.com/sm64/run/jy9kjrvz,2016-07-28T16:59:58Z,506.0,506.0,qjn3egwx,Babass_21,France,EMU,Yes
356,zp8o1wny,355,http://www.speedrun.com/sm64/run/zp8o1wny,2021-10-28T03:59:17Z,506.0,506.0,xy5nqpy8,AIien,United States,N64,Yes
357,y4qxpnnm,355,http://www.speedrun.com/sm64/run/y4qxpnnm,2022-06-06T19:39:11Z,506.0,506.0,8g5kr62j,NaturallyAllen,United States,EMU,Yes
358,zx7wjkgy,355,http://www.speedrun.com/sm64/run/zx7wjkgy,2022-06-20T19:24:32Z,506.0,506.0,98rv2rdj,Perna64,United States,N64,Yes
359,me2dex8m,355,http://www.speedrun.com/sm64/run/me2dex8m,2025-08-24T16:19:58Z,506.0,506.0,qxkppkkj,goofbrush,United Kingdom,N64,No
360,mk52kp1m,361,http://www.speedrun.com/sm64/run/mk52kp1m,2021-08-09T19:40:49Z,507.0,507.0,qjor2nj6,Odme_,United States,VC,Yes
361,m76l1jey,361,http://www.speedrun.com/sm64/run/m76l1jey,2022-07-05T09:00:07Z,507.0,507.0,8geyv5pj,Jake64,United States,N64,Yes
362,y8gg6ldz,361,http://www.speedrun.com/sm64/run/y8gg6ldz,2025-08-13T05:24:19Z,507.0,507.0,8d0125lx,Vipexx64,Germany,EMU,Yes
363,z5193jem,364,http://www.speedrun.com/sm64/run/z5193jem,2019-05-03T23:09:16Z,508.0,508.0,qjn3my2x,Darkman_,France,EMU,Yes
364,yv60dn6z,364,http://www.speedrun.com/sm64/run/yv60dn6z,2020-06-18T10:39:33Z,508.0,508.0,dx394zkx,max25,England,N64,Yes
365,m70dnkey,364,http://www.speedrun.com/sm64/run/m70dnkey,2023-06-11T22:20:16Z,508.0,508.0,1xyky4n8,thags15,United States,N64,Yes
366,y98dk9vz,364,http://www.speedrun.com/sm64/run/y98dk9vz,2023-07-27T06:42:04Z,508.0,508.0,48gye018,Jalapiñecone,Canada,N64,Yes
367,z0xld84z,364,http://www.speedrun.com/sm64/run/z0xld84z,2023-11-26T07:14:06Z,508.0,508.0,81kddqpj,dekitan,Japan,N64,Yes
368,zxqlnp5m,364,http://www.speedrun.com/sm64/run/zxqlnp5m,2024-04-09T12:53:07Z,508.0,508.0,864qwvqj,norogative,United States,EMU,Yes
369,ydl3r9xz,364,http://www.speedrun.com/sm64/run/ydl3r9xz,2024-07-18T03:29:42Z,508.0,508.0,jp6ed5k8,TNewm2215,United States,EMU,Yes
370,y6j89kjm,364,http://www.speedrun.com/sm64/run/y6j89kjm,2025-08-17T19:23:54Z,508.0,508.0,8q34l9oj,LFoxy,,N64,Yes
371,m327dq4y,364,http://www.speedrun.com/sm64/run/m327dq4y,2025-11-14T00:05:44Z,508.0,508.0,8r1gmg6j,Hansel_Panda,United States,N64,Yes
372,mkrv325z,364,http://www.speedrun.com/sm64/run/mkrv325z,2025-12-12T04:09:49Z,508.0,508.0,8eo2q72j,potochi,Japan,N64,Yes
373,pydv7vyn,374,http://www.speedrun.com/sm64/run/pydv7vyn,,509.0,509.0,,,,VC,Yes
374,yopdw1dm,374,http://www.speedrun.com/sm64/run/yopdw1dm,2022-06-06T16:11:11Z,509.0,509.0,8vo6q72x,oxef64,United States,EMU,Yes
375,y626wgqz,374,http://www.speedrun.com/sm64/run/y626wgqz,2023-06-07T05:10:57Z,509.0,509.0,xk4rk32j,Tankfird,United States,N64,Yes
